"Klarna Invoice","Klarna Faktura"
"Enable for IP range","Aktivera för IP intervall"
"Specify 2 numbers between 0 and 255, separated by dash. Example: '0-50'. Empty value enables all IP addresses","Två siffror, separerade med minus tecken. Till exempel 0-50"
"Enable for logged in Customers","Aktivera för inloggade kunder"
"If not enabled, logged in customers will use standard Magento checkout","Om den inte är aktiverad, kommer inloggade kunder att använda standard kassan"
"Enable for specific customer groups","Aktivera för vissa kundgrupper"
"If you do not belong to a selected customer group, standard Magento checkout will be used. None selected, means enabled for all","Om du inte tillhör en kundgrupp som är aktiverad, kommer standard kassa användas. Inga valda i inställningen betyder alla kundgrupper"
"For an easy checkout, I consent to use the data saved in my account with the new Klarna Checkout according to the %s","Jag godkänner att min information används för att fylla i fält i Klarna Checkout, enligt %s"
"No","Nej"
"Yes - Subscribe to newsletter","Ja - Prenumerera på nyhetsbrev"
"Yes - Don't subscribe to newsletter","Ja - Prenumerera inte på nyhetsbrev"
"Subscribe to newsletter","Prenumerera på nyhetsbrev"
"Don't subscribe to newsletter","Jag vill inte få lojalitetserbjudanden som rabattkoder via min e-postadress"
"URL to this stores own terms and conditions","URL till butikens villkor"
"Refund amount","Återbetalning"
"Go to Klarna Checkout","Gå till Klarna Checkout"
"Other Payment Methods","Andra betalsätt"

"Country Default","Standard"
"Force entry of phonenumber","Tvinga telefonnummer"
"Enable DHL Packstation","Aktivera DHL Packstation"
"Enable cart in checkout page","Aktivera varukorgen på checkout sidan"
"Only available in Germany","Endast tillgängligt i Tyskland"
"Enable Autofocus for Klarna Checkout","Aktivera automatisk fokus till Klarna Checkout"
"Support of other payment methods","Stöd för användning av andra betalsätt"
"If enabled, one button will be placed on klarna checkout page and one in the payment section of standard checkout","Om man aktiverar detta så visas en knapp i Klarna Checkout och en annan i betalsätt sektionen på standard kassan"
"Label for Other Payment Methods button","Namn på knappen till Andra Betalsätt"
"Label for Back to Klarna Checkout button","Namn på knappen för att Återgå till Klarna Checkout"
"Other Payment Methods","Andra Betalsätt"
"Go to Klarna Checkout","Tillbaka till Klarna Checkout"
"This can be free text or a complete URL to a reasonably sized image","Detta kan vara fri text eller en komplett URL till en bild av korrekt storlek"
"Reference","Referens"
"Order Id","Order Id"
"Capture ID","Aktiverings ID"
"Klarna Checkout is not responding properly. Please try again in a while or choose another payment method.","Just nu kan vi inte genomföra ditt köp med Klarna på grund av ett tekniskt fel. Försök igen om en stund. Om du fortfarande får detta meddelande, vänligen välj ett annat betalsätt för att genomföra ditt köp"

"Please note that your official address will be used for shipping and billing address when you place your order","Både leverans och fakturaadress kommer att uppdateras till din officiella adress när du lägger ordern"
"User Defined Variables","Anpassningsbara variabler"
"JSON encoded array. Please consult Klarna before using this, incorrect information may cause the integration to stop working","JSON kodad array. Vänligen kontakta Klarna innan ni använder detta, fel i fältet kan orsaka att integrationen slutar fungera"
"Disable Klarna Backend","Deaktivera Klarna i Admin"
"Disable all calls to Klarna from Admin, such as Capture, Credit and Cancel. This feature can be used if those functions are maintained by an external system","Deaktivera alla anrop till Klarna från Admin, som till exempel Aktivera, Kreditera och Avbryt. Denna funktion kan användas om ett annat system styr dessa funktioner"
"Invoice Klarna Orders","Fakturera Klarna Order"
"Invoice created for order","Faktura skapad för order"
"Order ignored, does not have Klarna as payment method","Order ignorerad, den har inte Klarna som betalsätt"
"Default","Förvalt"
"Layout","Layout"
"2 columns with right sidebar","2 kolumner med varukorg på höger sida"
"Show login form","Visa inloggning"
"Only for 2 column layout","Enbart 2 kolumn layout"
"Order Summary", "Order Summary"
"E-mail", "E-post"
"Password", "Lösenord"
"Login", "Logga in"
"Shipping Countries","Leverans till länder"
"Specific for API V.3.1. List of allowed shipping countries. If none selected, none will be supported. List will appear in Klarna Checkout","Endast för API V.3.1. Lista över tillåtna länder att leverera till. Är ingen vald, visas ingen. Listan visas i Klarna Checkout"
"Please note that your official address will be used for shipping address when you place your order","Leveransadressen kommer att uppdateras till din officiella adress när du lägger ordern"
